"Parent.s.age..years.","Parent.s.sex","Parent.s.education.level","Employment.status","Family.type","Your.average.household.income.per.month..BDT.","Child.s.sex","Child.s.age..years.","Number.of.children","Who.is.the.leading.child.caregiver.at.home.","Are.grandparents.at.home.involved.in.treatment.decisions.when.your.child.is.ill.","Antibiotic.kills.the.bacteria","X.Amoxicillin.is.an.antibiotic","X.Azithromycin.is.an.antibiotic","X.Paracetamol.is.an.antibiotic","X.Antibiotic.kills.the.virus","X.Antibiotics.used.to.treat.diarrhoea","X.Antibiotics.are.useful.for.flu.and.cough.1.","X.Antibiotic.resistant.bacteria.are.difficult.to.treat","X.Misuse.of.antibiotics.can.lead.to.antibiotic.resistant.bacteria","X.Antibiotics.can.cause.allergic.reactions","X.Antibiotics.can.kill.0rmal.flora","X.Infectious.disease.are.becoming.difficult.to.treat.with.antibiotics","TotalKnowledgeScore","KnowledgePCT","X.I.will.see.another.doctor.if.the.first.one.has.not.been.prescribed.antibiotics","X.I.am.not.satisfied.if.the.doctor.does.not.prescribe.an.antibiotic.to.me","X.Antibiotics.are.safe.and.hence.can.be.used.commonly","X.Sick.child.is.given.antibiotics..even.there.is.no.indication","X.Antibiotics.can.improve.fever.in.children","A.child.with.cold.is.given.antibiotics","I.stop.antibiotics.when.my.child.condition.improves","I.reusing.the.same.antibiotics.for.similar.symptoms","Leftover.antibiotics.are.good.to.keep.at.home.in.case.I.might.need.them.for.my.child.later.on","Doctors.often.take.time.to.inform.parents.how.antibiotics.should.be.used.for.their.children","TotalAttitudeScore","AttitudePCT","X.I.give.my.children.antibiotics","X.I.check.expiring.date.of.antibiotic.before.giving.to.children","X.I.seek.medical.advice.before.giving.antibiotic.to.my.children","X.I.give.my.children.antibiotics.when.they.get.cough","X.I.like.to.take.antibiotic.from.pharmacy.instead.of.taking.from.doctor","X.My.child.should.complete.a.given.dose..even.he.improve.after.2.dose","TotalPracticeScore","PracticePCT","Practice_Status"
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Never",0,0,0,1,0,0,1,1,0,0,0,0,3,25,1,1,1,1,0,1,1,1,1,1,9,90,1,1,1,1,1,1,6,100,1
"36–45","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",0,0,1,1,0,0,1,0,1,0,0,0,4,33.3333333333333,0,1,1,1,0,1,1,1,1,1,8,80,1,1,0,1,1,0,4,66.6666666666667,1
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Never",0,0,0,0,0,0,1,1,0,0,0,0,2,16.6666666666667,0,1,1,1,0,1,1,1,1,1,8,80,1,1,1,0,1,1,5,83.3333333333333,1
"25–35","Female","Postgraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",1,0,1,0,0,0,1,0,0,0,0,0,3,25,1,1,1,1,0,1,1,1,1,1,9,90,1,0,0,1,1,0,3,50,1
"25–35","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","2","Mother","Sometimes",0,0,0,1,0,0,1,0,1,0,1,0,4,33.3333333333333,1,1,1,1,0,0,1,1,0,1,7,70,1,0,1,1,1,0,4,66.6666666666667,1
"36–45","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",0,0,0,0,0,0,1,0,0,0,0,0,1,8.33333333333333,1,1,1,1,1,1,1,0,1,1,9,90,1,0,0,1,1,1,4,66.6666666666667,1
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,0,1,1,0,0,1,1,1,0,0,0,6,50,1,1,0,1,0,1,1,1,1,0,7,70,1,1,0,0,1,1,4,66.6666666666667,1
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",0,0,0,1,0,0,1,0,1,0,0,0,3,25,1,1,1,1,1,1,1,1,1,1,10,100,1,1,1,1,0,1,5,83.3333333333333,1
"25–35","Female","Secondary","Not employed","Single parent family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Never",0,0,1,0,0,0,0,1,0,0,1,1,4,33.3333333333333,1,1,0,0,0,1,1,0,1,1,6,60,0,1,1,1,0,1,4,66.6666666666667,1
"25–35","Female","Postgraduate","Not employed","Single parent family","Low (less than 30000 BDT)","Male","> 10","1","Mother","Never",1,0,0,1,0,0,0,0,1,0,0,0,3,25,0,1,1,1,1,0,1,1,1,1,8,80,1,1,0,0,1,1,4,66.6666666666667,1
"25–35","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9",">= 3","Mother","Never",1,0,1,1,1,0,0,1,1,1,0,1,8,66.6666666666667,1,1,0,1,0,0,1,1,1,1,7,70,0,1,1,0,1,0,3,50,1
"36–45","Female","Undergraduate","Not employed","Single parent family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",0,0,0,0,0,0,1,1,1,0,0,0,3,25,1,1,1,1,0,1,1,1,1,1,9,90,1,1,0,1,1,1,5,83.3333333333333,1
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",1,0,0,1,0,0,1,0,1,1,0,1,6,50,1,1,1,1,1,1,1,1,1,1,10,100,1,1,1,1,1,0,5,83.3333333333333,1
"36–45","Female","Secondary","Employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Others","Never",1,1,1,1,0,1,1,1,1,0,0,1,9,75,1,1,0,1,0,0,1,1,1,1,7,70,1,1,1,1,1,1,6,100,1
"36–45","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10",">= 3","Father","Never",0,1,0,1,0,0,0,1,1,1,0,0,5,41.6666666666667,1,1,1,1,1,1,1,1,1,1,10,100,0,1,1,1,1,1,5,83.3333333333333,1
"36–45","Female","Secondary","Not employed","Single parent family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",1,0,0,1,0,1,0,1,1,0,1,0,6,50,1,1,1,1,1,0,1,1,1,1,9,90,1,1,0,1,1,1,5,83.3333333333333,1
"> 45","Female","Primary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Often",1,0,0,0,0,0,0,1,1,0,1,0,4,33.3333333333333,1,1,0,1,0,1,0,0,1,1,6,60,1,0,0,0,1,0,2,33.3333333333333,0
"36–45","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Never",0,0,1,1,0,0,0,1,1,0,0,1,5,41.6666666666667,1,1,1,1,1,0,1,1,1,1,9,90,0,1,1,0,1,0,3,50,1
"36–45","Female","Secondary","Not employed","Single parent family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",1,0,1,1,0,1,0,1,1,0,1,1,8,66.6666666666667,1,1,1,1,0,0,1,1,1,1,8,80,1,1,0,0,0,0,2,33.3333333333333,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","1","Mother","Never",1,0,0,1,0,1,0,0,0,0,1,1,5,41.6666666666667,0,1,1,0,0,1,0,1,1,0,5,50,1,0,1,1,1,1,5,83.3333333333333,1
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Always",1,0,0,1,0,0,0,1,1,0,1,1,6,50,1,1,0,1,0,0,1,0,0,0,4,40,0,0,1,0,0,1,2,33.3333333333333,0
"25–35","Female","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","1","Grandmother","Often",1,0,1,1,0,1,1,0,1,1,1,0,8,66.6666666666667,1,1,1,1,1,1,0,1,1,0,8,80,1,1,1,1,1,1,6,100,1
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Often",1,0,1,1,0,0,1,0,1,1,0,0,6,50,0,0,1,1,1,1,0,1,1,0,6,60,1,1,1,1,1,1,6,100,1
"25–35","Female","Undergraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Sometimes",1,0,0,1,0,0,1,0,1,1,1,0,6,50,0,1,1,0,1,1,0,0,1,1,6,60,1,1,1,1,0,1,5,83.3333333333333,1
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Sometimes",0,0,0,1,0,1,0,0,1,0,0,0,3,25,0,0,1,1,0,0,1,0,1,0,4,40,1,1,0,1,0,0,3,50,1
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","1","Mother","Often",1,0,0,1,0,0,1,1,1,0,0,0,5,41.6666666666667,0,0,1,1,1,1,0,0,1,0,5,50,1,1,1,1,1,1,6,100,1
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Often",0,0,0,0,0,0,1,0,1,0,0,0,2,16.6666666666667,0,1,0,1,1,1,0,0,0,0,4,40,1,1,0,1,0,1,4,66.6666666666667,1
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Sometimes",1,0,0,1,0,1,1,0,1,1,1,0,7,58.3333333333333,1,0,0,1,1,1,0,0,1,0,5,50,1,1,1,1,0,1,5,83.3333333333333,1
"36–45","Female","Secondary","Self employed","Single parent family","Low (less than 30000 BDT)","Female","5–9",">= 3","Mother","Never",0,1,1,1,0,0,0,1,1,1,0,0,6,50,1,1,0,0,0,0,1,0,0,1,4,40,0,0,0,1,0,0,1,16.6666666666667,0
"> 45","Male","Secondary","Employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9",">= 3","Father","Never",0,0,0,0,0,0,0,1,1,0,0,0,2,16.6666666666667,1,1,0,0,0,0,1,0,0,1,4,40,0,0,0,0,0,0,0,0,0
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Male","5–9","2","Father","Sometimes",1,1,1,1,0,0,0,0,0,0,0,1,5,41.6666666666667,0,1,0,1,0,0,1,1,1,0,5,50,0,1,1,0,1,0,3,50,1
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Sometimes",0,0,1,0,1,0,1,0,1,0,0,0,4,33.3333333333333,1,1,0,1,0,0,1,1,1,1,7,70,0,1,1,0,1,1,4,66.6666666666667,1
"25–35","Female","Undergraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",0,0,0,1,1,0,0,0,1,0,1,0,4,33.3333333333333,1,1,1,1,0,0,1,1,1,1,8,80,0,1,1,0,1,0,3,50,1
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Sometimes",1,0,0,1,0,0,0,1,0,0,1,1,5,41.6666666666667,1,1,0,1,0,0,1,1,1,0,6,60,0,1,1,0,1,0,3,50,1
"36–45","Male","Primary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Others","Never",0,0,1,1,0,0,1,0,1,1,1,0,6,50,1,1,1,1,0,0,0,1,1,0,6,60,0,1,1,0,0,0,2,33.3333333333333,0
"25–35","Female","Primary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",0,0,0,1,0,0,0,0,1,0,1,0,3,25,1,1,0,1,0,0,1,0,0,0,4,40,0,1,1,0,1,0,3,50,1
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never",0,0,0,1,0,0,1,0,1,0,1,0,4,33.3333333333333,1,1,1,1,0,0,1,1,1,0,7,70,0,1,1,0,1,0,3,50,1
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Never",1,0,0,1,0,0,1,0,1,0,1,0,5,41.6666666666667,1,1,1,1,0,0,1,0,1,1,7,70,0,1,1,0,1,0,3,50,1
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",0,0,0,1,0,1,1,0,1,0,1,0,5,41.6666666666667,1,1,0,1,0,0,1,1,1,1,7,70,0,1,1,0,1,0,3,50,1
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","1","Father","Sometimes",1,1,1,1,0,0,0,1,1,1,1,1,9,75,1,1,1,1,0,0,0,1,1,0,6,60,0,0,1,1,1,1,4,66.6666666666667,1
"25–35","Female","Undergraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Often",1,0,1,1,0,0,0,1,1,1,1,0,7,58.3333333333333,1,1,0,1,1,1,1,1,1,0,8,80,0,0,1,1,1,1,4,66.6666666666667,1
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Father","Sometimes",1,1,1,1,0,0,1,1,1,1,0,1,9,75,1,1,1,1,0,1,1,1,1,0,8,80,0,0,1,1,1,1,4,66.6666666666667,1
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Male","> 10","2","Father","Sometimes",1,0,0,1,0,0,1,0,0,0,0,1,4,33.3333333333333,1,1,0,1,0,1,1,1,1,1,8,80,0,1,1,1,0,1,4,66.6666666666667,1
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never",0,0,0,1,0,0,1,0,1,0,0,0,3,25,1,1,0,1,0,0,1,1,1,1,7,70,0,1,1,1,0,1,4,66.6666666666667,1
"25–35","Female","Postgraduate","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes",0,0,0,0,0,1,1,1,1,1,0,1,6,50,1,1,0,1,1,1,1,1,1,0,8,80,0,1,1,1,1,1,5,83.3333333333333,1
"36–45","Female","Primary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,33.3333333333333,0
"36–45","Female","Secondary","Employed","Extended family","Middle (less than 50000 BDT)","Female","> 10","2","Grandmother","Often",0,1,1,1,1,0,1,0,1,1,0,1,8,66.6666666666667,0,1,1,1,1,1,1,0,1,1,8,80,0,1,1,1,1,0,4,66.6666666666667,1
"> 45","Male","Undergraduate","Employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Sometimes",1,0,0,1,0,0,0,0,1,1,1,1,6,50,1,1,1,1,0,0,1,1,1,1,8,80,0,1,1,0,0,0,2,33.3333333333333,0
"25–35","Female","Secondary","Employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9",">= 3","Grandmother","Often",1,0,0,1,0,0,1,0,1,1,0,0,5,41.6666666666667,1,1,1,1,1,1,1,0,1,1,9,90,0,1,1,1,1,0,4,66.6666666666667,1
"25–35","Female","Primary","Employed","Single parent family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Sometimes",1,0,0,0,0,0,0,0,0,0,0,0,1,8.33333333333333,1,1,0,1,0,0,0,0,0,1,4,40,0,1,1,0,1,1,4,66.6666666666667,1
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes",1,1,1,1,0,1,1,0,1,0,1,0,8,66.6666666666667,0,1,1,1,1,1,0,1,1,1,8,80,1,1,1,1,1,1,6,100,1
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",0,1,0,0,0,0,1,0,1,0,1,1,5,41.6666666666667,0,0,1,1,1,1,0,1,1,0,6,60,1,1,1,1,1,1,6,100,1
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Sometimes",0,0,0,1,0,0,0,0,0,1,0,0,2,16.6666666666667,0,0,1,1,1,1,0,1,1,0,6,60,1,1,1,1,1,1,6,100,1
"> 45","Male","Postgraduate","Employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",0,0,0,1,0,0,1,1,1,0,1,1,6,50,0,0,1,1,1,1,0,0,1,1,6,60,1,1,1,1,0,1,5,83.3333333333333,1
"25–35","Female","Primary","Employed","Extended family","Low (less than 30000 BDT)","Male","> 10",">= 3","Others","Never",0,0,0,1,0,0,1,0,0,0,0,0,2,16.6666666666667,0,0,0,0,1,1,0,1,1,1,5,50,1,0,1,1,0,0,3,50,1
"25–35","Female","Secondary","Employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Grandmother","Sometimes",0,0,0,1,0,0,1,0,1,0,0,0,3,25,0,0,0,1,1,1,0,1,1,0,5,50,1,1,1,1,0,0,4,66.6666666666667,1
"25–35","Male","Undergraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","1","Mother","Sometimes",1,1,1,1,1,1,1,1,1,1,1,0,11,91.6666666666667,0,0,0,1,0,1,1,1,0,0,4,40,1,0,1,1,1,0,4,66.6666666666667,1
"25–35","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","< 5","1","Mother","Always",1,0,1,1,0,1,1,0,0,1,0,1,7,58.3333333333333,0,1,0,1,1,0,1,1,1,0,6,60,1,1,1,1,1,1,6,100,1
"25–35","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",1,0,0,1,0,1,1,1,1,0,1,1,8,66.6666666666667,1,1,1,1,0,0,0,1,0,0,5,50,1,0,1,1,0,1,4,66.6666666666667,1
"25–35","Female","Primary","Not employed","Single parent family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Always",0,0,0,1,0,0,1,0,0,0,0,0,2,16.6666666666667,1,1,0,1,1,0,0,1,1,0,6,60,0,0,1,1,0,1,3,50,1
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Sometimes",0,0,0,1,0,0,1,1,1,1,1,0,6,50,1,1,0,1,0,1,1,1,1,0,7,70,1,0,1,1,1,1,5,83.3333333333333,1
"25–35","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9",">= 3","Mother","Never",0,0,0,1,0,1,1,1,1,1,0,0,6,50,1,1,0,1,0,0,1,0,1,0,5,50,0,0,1,1,0,0,2,33.3333333333333,0
"25–35","Male","Undergraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Always",1,1,1,1,0,0,1,0,0,1,0,0,6,50,1,1,1,1,0,0,1,1,1,1,8,80,1,0,1,1,1,0,4,66.6666666666667,1
"25–35","Male","Postgraduate","Self employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Always",0,1,1,1,0,0,1,0,0,1,0,0,5,41.6666666666667,0,1,0,1,1,1,1,1,1,0,7,70,1,1,1,1,1,0,5,83.3333333333333,1
"36–45","Male","Secondary","Employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","2","Mother","Sometimes",1,1,1,0,0,1,0,0,1,0,1,1,7,58.3333333333333,1,1,0,1,0,1,1,0,0,1,6,60,0,1,0,0,0,0,1,16.6666666666667,0
"36–45","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Often",0,0,0,0,0,1,0,0,0,0,0,0,1,8.33333333333333,1,1,0,0,0,0,0,0,0,1,3,30,0,1,0,0,1,0,2,33.3333333333333,0
"36–45","Female","Undergraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","< 5","2","Mother","Sometimes",1,1,1,1,0,1,0,0,1,0,0,1,7,58.3333333333333,1,1,0,0,0,0,0,0,0,1,3,30,0,0,0,0,0,1,1,16.6666666666667,0
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",0,0,0,0,0,0,0,0,1,0,0,1,2,16.6666666666667,1,1,0,0,0,0,1,0,0,1,4,40,0,0,0,0,0,1,1,16.6666666666667,0
"36–45","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",1,1,1,1,0,0,0,0,1,0,1,1,7,58.3333333333333,1,1,0,1,0,0,1,0,1,1,6,60,0,1,1,0,0,0,2,33.3333333333333,0
"36–45","Male","Secondary","Employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Sometimes",1,1,1,1,0,0,0,1,1,0,1,1,8,66.6666666666667,1,1,0,1,0,0,1,0,0,1,5,50,0,1,1,0,0,0,2,33.3333333333333,0
"36–45","Male","Undergraduate","Employed","Single parent family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Sometimes",1,1,1,1,1,1,0,1,1,0,1,1,10,83.3333333333333,1,1,0,1,0,0,1,0,0,1,5,50,0,1,1,0,0,0,2,33.3333333333333,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",1,0,0,1,0,0,1,1,1,0,1,1,7,58.3333333333333,1,1,1,0,1,1,1,0,1,0,7,70,1,1,1,1,1,1,6,100,1
"> 45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",1,1,1,1,0,0,1,1,1,1,1,0,9,75,1,1,1,0,1,0,1,1,1,0,7,70,1,1,1,1,1,1,6,100,1
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",0,0,0,1,0,0,0,0,1,0,1,0,3,25,1,1,1,1,0,0,1,1,1,1,8,80,1,1,1,0,1,1,5,83.3333333333333,1
"25–35","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Never",1,0,0,1,0,0,1,1,1,0,0,1,6,50,1,1,1,0,1,1,1,1,1,0,8,80,1,1,1,1,1,1,6,100,1
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",1,0,0,0,0,0,1,0,1,1,0,0,4,33.3333333333333,1,1,1,1,1,1,1,1,1,0,9,90,1,1,1,0,1,1,5,83.3333333333333,1
"25–35","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Never",0,0,0,0,0,0,0,1,0,1,1,1,4,33.3333333333333,0,0,1,0,0,0,1,1,1,0,4,40,0,1,1,0,1,1,4,66.6666666666667,1
"> 45","Male","Secondary","Self employed","Extended family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",1,1,1,1,0,1,1,0,1,1,1,0,9,75,1,1,1,0,1,1,1,1,1,0,8,80,1,1,1,1,1,1,6,100,1
"25–35","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Sometimes",1,0,1,1,0,0,1,1,1,0,1,1,8,66.6666666666667,1,1,1,1,1,1,1,1,1,0,9,90,1,1,1,1,1,1,6,100,1
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",0,0,0,1,0,0,1,0,1,0,1,1,5,41.6666666666667,0,1,0,0,1,0,0,1,1,0,4,40,0,1,1,0,0,1,3,50,1
"25–35","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Sometimes",1,0,1,1,0,0,1,1,1,1,1,0,8,66.6666666666667,1,1,1,0,1,1,1,1,1,0,8,80,1,1,1,1,1,1,6,100,1
"25–35","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","1","Mother","Never",1,0,0,0,0,0,0,0,1,1,0,0,3,25,0,0,1,1,0,0,1,0,1,0,4,40,1,1,1,1,0,1,5,83.3333333333333,1
"25–35","Male","Secondary","Employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Often",1,1,1,0,0,0,1,1,1,1,0,0,7,58.3333333333333,0,1,1,0,1,1,1,1,1,0,7,70,1,1,1,1,1,1,6,100,1
"36–45","Female","Primary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","5–9",">= 3","Mother","Never",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,5,50,0,1,1,0,0,0,2,33.3333333333333,0
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,0,0,0,0,0,0,0,1,0,1,0,3,25,1,0,1,1,0,0,1,0,1,0,5,50,0,1,1,0,1,0,3,50,1
"36–45","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",1,1,1,1,0,0,1,1,1,1,0,1,9,75,1,1,1,0,1,1,1,1,1,0,8,80,1,1,1,1,1,1,6,100,1
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,0,0,1,1,1,0,1,1,1,1,1,9,75,1,1,0,1,1,0,1,1,1,0,7,70,1,1,1,0,1,1,5,83.3333333333333,1
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10",">= 3","Mother","Never",1,1,1,1,0,0,0,1,1,1,1,0,8,66.6666666666667,1,1,1,0,1,1,1,1,1,0,8,80,1,1,1,0,0,1,4,66.6666666666667,1
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,0,0,1,0,1,0,1,1,1,1,1,8,66.6666666666667,1,1,1,1,0,1,1,0,1,0,7,70,0,1,1,0,1,0,3,50,1
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never",1,1,1,1,0,1,0,1,1,1,1,0,9,75,1,1,1,0,1,1,1,1,1,0,8,80,1,1,1,0,1,1,5,83.3333333333333,1
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Never",1,0,0,1,0,1,0,1,0,1,1,1,7,58.3333333333333,1,1,1,1,0,0,1,0,1,0,6,60,0,1,1,0,1,0,3,50,1
"36–45","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Sometimes",1,0,0,1,0,0,1,0,1,1,1,0,6,50,1,1,1,1,1,1,0,1,1,0,8,80,1,1,1,1,1,1,6,100,1
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,0,0,1,0,0,1,1,0,1,0,0,5,41.6666666666667,1,1,1,0,1,1,0,1,1,0,7,70,1,0,1,1,1,0,4,66.6666666666667,1
"36–45","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",0,0,0,1,0,0,0,1,1,1,0,0,4,33.3333333333333,1,1,0,1,0,0,0,1,1,0,5,50,0,0,1,1,1,1,4,66.6666666666667,1
"25–35","Female","Undergraduate","Self employed","Single parent family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Never",1,1,1,1,0,0,0,1,1,0,0,0,6,50,1,1,1,0,1,1,1,1,1,0,8,80,1,1,1,1,1,1,6,100,1
"25–35","Female","Secondary","Self employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","1","Mother","Never",0,0,0,1,0,0,1,1,1,1,1,1,7,58.3333333333333,0,1,1,1,0,0,0,1,1,0,5,50,1,1,1,1,1,1,6,100,1
"25–35","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Often",0,0,0,1,0,0,0,1,0,0,0,0,2,16.6666666666667,1,1,1,1,1,1,1,1,0,0,8,80,1,1,1,1,1,1,6,100,1
